file,conversation,sample_id,rq,group,item,metric,watermark,no_watermark,signed_metadata_only,random_replace
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=dedup;strength=0.1,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=dedup;strength=0.1,leaves_affected,36,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=dedup;strength=0.1,name,dedup,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=dedup;strength=0.1,strength,0.1,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=dedup;strength=0.1,tamper_detection_rate,0.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=dedup;strength=0.3,bit_recovery_post,0.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=dedup;strength=0.3,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=dedup;strength=0.3,leaves_affected,108,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=dedup;strength=0.3,name,dedup,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=dedup;strength=0.3,strength,0.3,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=dedup;strength=0.3,tamper_detection_rate,0.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=dedup;strength=0.5,bit_recovery_post,0.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=dedup;strength=0.5,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=dedup;strength=0.5,leaves_affected,181,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=dedup;strength=0.5,name,dedup,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=dedup;strength=0.5,strength,0.5,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=dedup;strength=0.5,tamper_detection_rate,0.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=edge_relabel;strength=0.1,bit_recovery_post,0.8292682926829268,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=edge_relabel;strength=0.1,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=edge_relabel;strength=0.1,leaves_affected,72,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=edge_relabel;strength=0.1,name,edge_relabel,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=edge_relabel;strength=0.1,strength,0.1,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=edge_relabel;strength=0.1,tamper_detection_rate,0.0995850622406639,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=edge_relabel;strength=0.3,bit_recovery_post,0.5609756097560976,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=edge_relabel;strength=0.3,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=edge_relabel;strength=0.3,leaves_affected,217,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=edge_relabel;strength=0.3,name,edge_relabel,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=edge_relabel;strength=0.3,strength,0.3,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=edge_relabel;strength=0.3,tamper_detection_rate,0.30013831258644535,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=edge_relabel;strength=0.5,bit_recovery_post,0.36585365853658536,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=edge_relabel;strength=0.5,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=edge_relabel;strength=0.5,leaves_affected,362,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=edge_relabel;strength=0.5,name,edge_relabel,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=edge_relabel;strength=0.5,strength,0.5,,,
